47	1-METHYL-2-ISOPROPYLBENZENE	134.222	670.000	2.898	0.000	0.000	0.277	0.000	0.000	0.00000000000	0.000000000000000	15.981	3564.520	-70.000
48	1-METHYL-2-ISOPROPYLBENZENE	134.222	666.000	2.938	0.000	0.000	0.279	-11.646	0.217	-0.00014460000	0.000000038870000	15.981	3543.790	-69.220
49	1-METHYL-3-ETHYLBENZENE	120.195	637.000	2.837	490.000	0.260	0.360	-6.926	0.174	-0.00010420000	2.388000000000000	30.220	16.155	3521.080
50	1-METHYL-4-ETHYLBENZENE	120.195	640.000	2.938	470.000	0.260	0.322	-6.523	0.171	-0.00010090000	0.000000022790000	16.114	3516.310	-64.230
51	1-METHYL-4-ISOPROPYLBENZENE	134.222	653.000	2.827	0.000	0.000	0.371	0.000	0.000	0.00000000000	0.000000000000000	15.942	3539.210	-70.100
52	1-METHYLNAPHTHALENE	142.201	772.000	3.567	445.000	0.250	0.334	-15.482	0.224	-0.00016580000	0.000000048140000	16.201	4206.700	-78.150
53	1-NONENE	126.243	592.000	2.341	580.000	0.280	0.430	0.888	0.194	-0.00010770000	0.000000023180000	16.012	3305.030	-67.610
54	1-OCTADECANOL	270.501	747.000	1.419	0.000	0.000	0.000	-2.079	0.417	-0.00023600000	0.000000051530000	15.690	3757.820	-193.100
55	1-OCTADECENE	252.486	739.000	1.135	0.000	0.000	0.807	-2.706	0.398	-0.00022390000	0.000000048930000	16.222	4416.130	-127.300
56	1-OCTANOL	130.231	58.000	3.445	490.000	0.310	0.530	1.474	0.182	-0.00009069000	0.000000014960000	15.743	3017.810	-137.100
57	1-OCTENE	112.216	566.600	2.624	464.000	0.260	0.386	-0.979	0.173	-0.00009641000	0.000000020720000	15.963	3116.520	-60.390
58	1-PENTADECENE	210.405	704.000	1.459	0.000	0.000	0.682	-2.198	3.302	-1.00000000000	-1.859000000000000	347.460	-54.310	38.970
59	1-PENTANOL	88.150	586.000	3.850	326.000	0.260	0.580	0.924	0.121	-0.00006304000	0.000000012230000	16.527	3026.890	-105.000
60	1-PENTENE	70.135	464.700	4.053	300.000	0.310	0.245	-0.032	0.103	-0.00005534000	0.000000011180000	15.765	2405.960	-39.630
61	1-PENTYNE	68.119	493.400	4.053	278.000	0.275	0.164	4.315	0.084	-0.00004570000	0.000000009787000	16.043	2515.620	-45.970
62	1-PROPANOL	60.096	536.700	5.168	218.500	0.253	0.624	0.590	0.079	-0.00004431000	0.000000010260000	17.544	3166.380	-80.150
63	1-TERADECENE	196.378	689.000	1.560	0.000	0.000	0.644	-1.903	3.071	-1.00000000000	-1.722000000000000	336.130	-49.360	36.990
64	1-TRANS-3-PENTADIENE	68.119	496.000	3.992	275.000	0.266	0.175	7.330	0.067	-0.00001603000	-0.000000005617000	15.918	2541.690	-41.430
65	1-TRIDECENE	182.351	674.000	1.702	0.000	0.000	0.598	-1.700	2.845	-1.00000000000	-1.594000000000000	323.710	-44.450	34.960
66	1-UNDECENE	154.297	637.000	1.996	0.000	0.000	0.518	-1.334	0.240	-0.00013380000	0.000000029050000	16.041	3597.720	-83.410
67	"2,2 DIMETHYL BUTANE"	86.178	488.700	3.080	359.000	0.272	0.231	-3.973	0.150	-0.00008314000	0.000000016360000	15.554	2489.500	-43.810
68	"2,2,3 TRIMETHYLPETANE"	114.232	563.400	2.726	436.000	0.254	0.297	2.201	0.188	-0.00010510000	0.000000023160000	15.716	2981.560	-54.730
69	"2,2,3,3-TETRAMETHYLHEPTANE"	142.286	623.100	2.513	0.000	0.000	0.360	-14.052	0.294	-0.00021100000	0.000000061740000	15.760	3371.050	-64.090
70	"2,2,3,3-TETRAMETHYLPENTANE"	128.259	607.600	2.736	0.000	0.000	0.279	-13.037	0.260	-0.00018080000	0.000000051160000	15.728	3220.550	-59.310
71	"2,2,3,4-TETRAMETHYLPENTANE"	128.259	592.700	2.604	0.000	0.000	0.311	-13.037	0.260	-0.00018080000	0.000000051660000	15.736	3167.420	-58.210
72	"2,2,3-TRIMETHYLBUTANE"	100.205	531.100	2.959	398.000	0.267	0.251	-5.480	0.180	-0.00010560000	0.000000024000000	15.640	2764.400	-47.100
73	"2,2,3-TRIMETHYLHEXANE"	128.259	588.000	2.493	0.000	0.000	0.332	-10.899	0.252	-0.00017130000	0.000000047450000	15.802	3164.170	-61.660
74	"2,2,4 TRIMETHYLPENTANE"	114.232	543.900	2.564	468.000	0.266	0.303	-1.782	0.186	-0.00010240000	0.000000021910000	15.685	2896.280	-52.410
75	"2,2,4,4-TETRAMETHYLPENTANE"	128.259	574.700	2.482	0.000	0.000	0.315	-16.099	0.279	-0.00020570000	0.000000061470000	15.649	3049.980	-57.130
76	"2,2,4-TRIMETHYLHEXANE"	128.259	573.700	2.371	0.000	0.000	0.321	-14.405	0.264	-0.00018420000	0.000000052250000	15.764	3084.080	-61.940
77	"2,2,5,5-TETRAMETHYLHEPTANE"	142.286	581.500	2.189	0.000	0.000	0.374	-14.890	0.297	-0.00021390000	0.000000062530000	15.845	3172.920	-66.150
78	"2,2,5-TRIMETHYLHEXANE"	128.259	568.000	2.330	519.000	0.260	0.357	-12.923	0.262	-0.00018500000	0.000000053850000	15.745	3052.170	-62.240
79	"2,2-DIMETHYL PROPANE"	72.151	433.800	3.202	303.000	0.269	0.197	-3.963	0.133	-0.00007897000	0.000000018230000	15.207	2034.150	-45.370
80	"2,2-DIMETHYL-1-PROPANOL"	88.150	549.000	3.952	319.000	0.280	0.000	2.903	0.129	-0.00007547000	0.000000017010000	18.134	3694.960	-65.000
81	"2,2-DIMETHYLHEXANE"	114.232	549.800	2.533	478.000	0.264	0.338	-2.201	0.188	-0.00010510000	0.000000023160000	15.743	2932.560	-58.080
82	"2,2-DIMETHYLPENTANE"	100.205	520.400	2.776	416.000	0.267	0.289	-11.966	0.214	-0.00015190000	0.000000041460000	15.692	2740.150	-49.850
83	"2,3 DIMETHYL BUTANE"	86.178	499.900	3.131	358.000	0.270	0.247	-3.489	0.147	-0.00008063000	0.000000016290000	15.680	2595.440	-44.250
84	"2,3,3 TRIMETHYLPENTANE"	114.232	573.500	2.817	455.000	0.269	0.290	-2.201	0.188	-0.00010510000	0.000000023160000	15.758	3057.940	-52.770
85	"2,3,3,4-TETRAMETHYLPENTANE"	128.259	607.600	2.716	0.000	0.000	0.299	-13.117	0.261	-0.00018160000	0.000000051540000	15.803	3269.070	-58.190
